City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
179,Garango,BF,11.8,-0.5506,76.32,78,27,5.64,scattered clouds
180,Kiunga,PG,-6.1219,141.2906,77.63,81,85,3.78,overcast clouds
181,Aykhal,RU,66.0,111.5,73.13,35,57,8.93,broken clouds
182,Sisimiut,GL,66.9395,-53.6735,51.71,67,0,5.88,clear sky
183,La Ronge,CA,55.1001,-105.2842,80.4,32,10,2.77,clear sky
184,Katherine,AU,-14.4667,132.2667,80.92,65,11,8.05,few clouds
185,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,13.8,broken clouds
186,Pisco,PE,-13.7,-76.2167,62.65,82,75,12.66,broken clouds
187,Axim,GH,4.8699,-2.2405,75.49,90,35,4.99,scattered clouds
188,Ust-Ishim,RU,57.6935,71.1665,60.85,99,74,4.79,broken clouds
189,Villa Del Rosario,CO,7.8339,-72.4742,75.33,82,70,6.49,broken clouds
190,Eureka,US,40.8021,-124.1637,70.2,77,55,8.01,broken clouds
191,Newport,GB,51.5877,-2.9984,59.63,84,74,9.17,broken clouds
192,Ust-Nera,RU,64.5667,143.2,56.37,51,2,3.87,clear sky
193,Clyde River,CA,70.4692,-68.5914,38.8,89,100,6.33,overcast clouds
194,Llanes,ES,43.4198,-4.7549,61.27,80,77,1.61,broken clouds
195,Maniitsoq,GL,65.4167,-52.9,47.84,77,17,5.99,few clouds
196,Youghal,IE,51.95,-7.8506,56.41,85,63,8.52,broken clouds
197,Sorland,NO,67.667,12.6934,49.28,73,76,12.77,broken clouds
198,Enshi,CN,30.3,109.4833,80.47,75,0,1.05,light rain
199,Orange Walk,BZ,17.8333,-88.8333,85.86,89,99,4.27,overcast clouds
200,Ritchie,ZA,-29.038,24.6028,49.1,37,3,5.41,clear sky
201,Saint-Augustin,CA,51.226,-58.6502,57.22,84,91,9.66,overcast clouds
202,Itarema,BR,-2.9248,-39.9167,78.31,74,87,11.63,overcast clouds
203,Zaozhuang,CN,34.8647,117.5542,79.29,83,9,7.83,light rain
204,Sciacca,IT,37.5082,13.0881,84.65,52,24,6.11,few clouds
205,Jamestown,US,42.097,-79.2353,65.52,79,75,3.0,broken clouds
206,Touros,BR,-5.1989,-35.4608,76.15,71,5,19.19,clear sky
207,Narsaq,GL,60.9167,-46.05,61.02,74,100,9.35,light rain
208,Avera,US,33.194,-82.5271,91.27,77,62,13.58,broken clouds
209,Van,TR,38.4924,43.3831,63.75,59,40,4.61,scattered clouds
210,Lasa,IT,46.6166,10.7002,52.63,94,74,6.26,broken clouds
211,Verkhnyaya Sinyachikha,RU,57.976,61.6673,57.02,91,25,7.02,scattered clouds
212,Port Macquarie,AU,-31.4333,152.9167,64.36,75,94,4.63,overcast clouds
213,Barrow,US,71.2906,-156.7887,48.22,77,90,16.11,overcast clouds
214,Thompson,CA,55.7435,-97.8558,86.4,26,24,4.72,few clouds
215,Mastic Beach,US,40.7668,-72.8521,73.06,77,75,5.99,broken clouds
216,Paralimni,CY,35.0375,33.9833,82.89,61,0,1.99,clear sky
217,Nantucket,US,41.2835,-70.0995,70.09,75,90,8.05,overcast clouds
218,Upernavik,GL,72.7868,-56.1549,42.55,81,17,10.6,few clouds
219,Oussouye,SN,12.485,-16.5469,77.16,89,79,9.28,light rain
220,Saint Anthony,US,45.0205,-93.218,77.9,41,40,4.0,scattered clouds
221,Lazaro Cardenas,MX,17.9583,-102.2,85.03,76,7,8.05,clear sky
222,Ucluelet,CA,48.9329,-125.5528,89.96,77,22,3.0,few clouds
223,Laguna,US,38.421,-121.4238,105.24,25,1,7.0,clear sky
224,Esperance,AU,-33.8667,121.9,53.82,63,70,20.89,broken clouds
225,Grafton,US,42.207,-71.6856,71.53,79,75,1.01,broken clouds
226,Tromso,NO,69.6496,18.957,46.42,76,90,1.01,light rain
227,Khotiv,UA,50.3307,30.4684,75.54,73,0,4.47,clear sky
228,Makakilo City,US,21.3469,-158.0858,88.12,46,20,13.8,few clouds
229,Bayir,TR,37.2687,28.2167,77.52,32,2,5.32,clear sky
230,Yumen,CN,40.2833,97.2,65.46,44,97,5.53,overcast clouds
231,Miri,MY,4.4148,114.0089,77.36,91,100,6.64,light rain
232,Evensk,RU,61.95,159.2333,50.02,73,100,19.75,overcast clouds
233,Ambilobe,MG,-13.2,49.05,66.97,81,8,2.55,clear sky
234,Langham,CA,52.3668,-106.9679,90.79,18,92,2.89,overcast clouds
235,Ambanja,MG,-13.6833,48.45,67.19,80,1,3.4,clear sky
236,Mar Del Plata,AR,-38.0023,-57.5575,45.09,31,90,4.0,fog
237,Vimperk,CZ,49.0586,13.7829,56.25,94,100,9.84,light rain
238,Ponta Do Sol,PT,32.6667,-17.1,72.23,83,1,5.41,clear sky
239,Greymouth,NZ,-42.4667,171.2,53.67,83,87,2.33,overcast clouds
240,Ewa Beach,US,21.3156,-158.0072,89.55,45,20,13.8,few clouds
241,Millau,FR,44.0833,2.9167,57.4,94,75,2.86,broken clouds
242,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,69,75,17.27,broken clouds
243,Isangel,VU,-19.55,169.2667,71.44,57,76,10.09,broken clouds
244,Det Udom,TH,14.906,105.0784,77.34,88,100,9.53,overcast clouds
245,Lesosibirsk,RU,58.2358,92.4828,59.72,91,89,1.03,overcast clouds
246,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.59,63,94,8.72,overcast clouds
247,Kodiak,US,57.79,-152.4072,56.95,92,94,6.24,overcast clouds
248,Khash,IR,28.2211,61.2158,77.05,17,4,3.18,clear sky
249,Srednekolymsk,RU,67.45,153.6833,41.72,61,100,10.2,overcast clouds
250,Katobu,ID,-4.9408,122.5276,78.85,84,29,3.83,scattered clouds
251,Oranjemund,NA,-28.55,16.4333,56.64,72,1,6.22,clear sky
252,Alexandria,EG,31.2156,29.9553,80.49,80,0,6.93,clear sky
253,Racale,IT,39.9631,18.0938,81.84,60,3,9.6,clear sky
254,Kamenka,RU,51.3223,42.7678,70.16,71,18,4.72,few clouds
255,Tasiilaq,GL,65.6145,-37.6368,48.36,77,59,5.77,broken clouds
256,General Cepeda,MX,25.3833,-101.45,85.41,34,27,18.14,scattered clouds
257,Haines Junction,CA,60.7522,-137.5108,81.48,27,14,6.13,few clouds
258,Arlit,NE,18.7369,7.3853,95.81,25,36,6.42,scattered clouds
259,Ostersund,SE,63.1792,14.6357,45.61,81,35,9.22,scattered clouds
260,Djambala,CG,-2.5447,14.7533,75.27,56,99,7.43,overcast clouds
261,Brae,GB,60.3964,-1.353,49.91,80,100,12.46,overcast clouds
262,Calama,CL,-22.4667,-68.9333,57.69,21,75,10.36,broken clouds
263,Zhuanghe,CN,39.7008,122.9911,76.53,83,19,8.93,few clouds
264,Sayat,TM,38.7839,63.8803,75.07,17,18,11.54,few clouds
265,Skjervoy,NO,70.0311,20.9714,47.79,70,75,6.46,broken clouds
266,Saint-Philippe,RE,-21.3585,55.7679,65.75,74,48,7.2,scattered clouds
267,Yambio,SS,4.5721,28.3955,67.03,99,100,4.94,light rain
268,Haguenau,FR,48.8156,7.7905,59.99,93,40,4.14,scattered clouds
269,Tuatapere,NZ,-46.1333,167.6833,45.82,90,100,2.95,moderate rain
270,Shitanjing,CN,39.2342,106.3439,72.34,26,64,9.57,broken clouds
271,Ayr,GB,55.4627,-4.6339,56.48,87,0,4.61,clear sky
272,Xam Nua,LA,20.4197,104.0439,69.01,100,100,1.74,overcast clouds
273,Hambantota,LK,6.1241,81.1185,79.0,82,100,15.82,overcast clouds
274,Kaitangata,NZ,-46.2817,169.8464,49.42,86,55,3.02,broken clouds
275,Teguise,ES,29.0605,-13.564,66.42,78,20,18.41,few clouds
